tempo, valor_sensor
2024-06-28 13:40:05, 103

2024-06-28 13:40:06, 108

2024-06-28 13:40:07, 109

2024-06-28 13:40:08, 109

2024-06-28 13:40:09, 109

2024-06-28 13:40:10, 107

2024-06-28 13:40:11, 85

2024-06-28 13:40:12, 94

2024-06-28 13:40:13, 95

2024-06-28 13:40:14, 95

2024-06-28 13:40:15, 96

2024-06-28 13:40:16, 96

2024-06-28 13:40:17, 96

2024-06-28 13:40:18, 96

2024-06-28 13:40:19, 96

2024-06-28 13:40:20, 96

2024-06-28 13:40:21, 95

2024-06-28 13:40:22, 96

2024-06-28 13:40:23, 95

2024-06-28 13:40:24, 96

2024-06-28 13:40:25, 96

2024-06-28 13:40:26, 96

2024-06-28 13:40:27, 96

2024-06-28 13:40:28, 95

2024-06-28 13:40:29, 96

2024-06-28 13:40:30, 96

2024-06-28 13:40:31, 97

2024-06-28 13:40:32, 96

2024-06-28 13:40:33, 97

2024-06-28 13:40:34, 97

2024-06-28 13:40:35, 95

2024-06-28 13:40:36, 95

2024-06-28 13:40:37, 94

2024-06-28 13:40:38, 94

2024-06-28 13:40:39, 94

2024-06-28 13:40:40, 95

2024-06-28 13:40:41, 95

2024-06-28 13:40:42, 95

2024-06-28 13:40:43, 95

2024-06-28 13:40:44, 94

2024-06-28 13:40:45, 94

2024-06-28 13:40:46, 94

2024-06-28 13:40:47, 94

2024-06-28 13:40:48, 95

2024-06-28 13:40:49, 94

2024-06-28 13:40:50, 94

